url,hotel_name,location,num_review,score,num_response,num_not_response,response_ratio,not_response_ratio,TF-IDF_review_avg_similarity,Embedding_review_avg_similarity,TF-IDF_answer_avg_similarity,Embedding_answer_avg_similarity
https://www.tripadvisor.com/Hotel_Review-g60833-d72274-Reviews-Glacier_Bay_s_Bear_Track_Inn-Gustavus_Alaska.html,Glacier Bay's Bear Track Inn,"5021 Rink Creek Rd., Gustavus, AK 99826",297.0,5.0,158.0,139.0,0.531986531986532,0.468013468013468,0.14913336820465076,0.6203449327903114,0.17234030933795735,0.5514899874831578
https://www.tripadvisor.com/Hotel_Review-g58833-d83261-Reviews-Chewuch_Inn_Cabins-Winthrop_Washington.html,Chewuch Inn & Cabins,"223 White Ave, Winthrop, WA 98862-9774",715.0,5.0,10.0,705.0,0.013986013986013986,0.986013986013986,0.13945476143221547,0.6314543025335021,-1.0,-1.0
https://www.tripadvisor.com/Hotel_Review-g32847-d12246188-Reviews-Holiday_House_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,Holiday House Palm Springs,"200 W Arenas Rd, Palm Springs, Greater Palm Springs, CA 92262",497.0,5.0,373.0,124.0,0.7505030181086519,0.24949698189134809,0.13698415703737093,0.6340148275751896,0.17358323385359933,0.6296136792089874
https://www.tripadvisor.com/Hotel_Review-g54146-d15899712-Reviews-Old_Town_Bluffton_Inn-Bluffton_South_Carolina.html,Old Town Bluffton Inn,"1321 May River Rd, Bluffton, SC 29910-7005",350.0,5.0,55.0,295.0,0.15714285714285714,0.8428571428571429,0.12991568967482856,0.6793641270978306,0.21375972939903598,0.5995314061842382
https://www.tripadvisor.com/Hotel_Review-g60795-d74363-Reviews-Independence_Park_Hotel_BW_Premier_Collection-Philadelphia_Pennsylvania.html,"Independence Park Hotel, BW Premier Collection","235 Chestnut St, Philadelphia, PA 19106",1.0,4.5,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0
https://www.tripadvisor.com/Hotel_Review-g147368-d149197-Reviews-Paradise_Villas-Little_Cayman_Cayman_Islands.html,Paradise Villas,"Paradise Villas Lane, KY3-2500 Little Cayman",268.0,5.0,20.0,248.0,0.07462686567164178,0.9253731343283582,0.17389625548062393,0.687282567586925,0.34923632880507216,0.7367021259508635
https://www.tripadvisor.com/Hotel_Review-g56003-d99010-Reviews-JW_Marriott_Houston_by_the_Galleria-Houston_Texas.html,JW Marriott Houston by the Galleria,"5150 Westheimer Rd, Houston, TX 77056-5506",119.0,5.0,8.0,111.0,0.06722689075630252,0.9327731092436975,0.12429731645722779,0.5437826278916318,-1.0,-1.0
https://www.tripadvisor.com/Hotel_Review-g34618-d12094586-Reviews-The_Westin_Sarasota-Sarasota_Florida.html,The Westin Sarasota,"100 Marina View Drive, Sarasota, FL 34236",1.0,4.5,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0
https://www.tripadvisor.com/Hotel_Review-g29877-d593480-Reviews-Caribbe_Inn-Atlantic_Beach_North_Carolina.html,Caribbe Inn,"309 E Fort Macon Rd, Atlantic Beach, NC 28512-5417",541.0,5.0,5.0,536.0,0.009242144177449169,0.9907578558225508,0.14078276860078892,0.6509646851164709,0.6585911024468413,0.8847082455952963
https://www.tripadvisor.com/Hotel_Review-g57602-d273734-Reviews-Best_Western_Chincoteague_Island-Chincoteague_Island_Virginia.html,Best Western Chincoteague Island,"7105 Maddox Blvd, Chincoteague Island, VA 23336",1.0,5.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0
